Target_PMUT,Regime,Regime_Name,Step_Type,Train_PMUTs,N_train,Model,MAE,RMSE,R2
2,Regime 1 (1–2),Regime 1 (1–2),within,[1],1,RF,0.462314,0.462343,-11527.742
2,Regime 1 (1–2),Regime 1 (1–2),within,[1],1,GB,0.462314,0.462343,-11527.742
2,Regime 1 (1–2),Regime 1 (1–2),within,[1],1,MLP,0.490164,0.49053,-12976.3215
3,Regime 2 (3–11),Regime 1 (1–2),cross,"[1, 2]",2,RF,0.223393,0.223437,-1737.8972
3,Regime 2 (3–11),Regime 1 (1–2),cross,"[1, 2]",2,GB,0.096263,0.096323,-322.1635
3,Regime 2 (3–11),Regime 1 (1–2),cross,"[1, 2]",2,MLP,0.036252,0.036842,-46.2763
4,Regime 2 (3–11),Regime 2 (3–11),within,[3],1,RF,0.006029,0.00606,-0.2889
4,Regime 2 (3–11),Regime 2 (3–11),within,[3],1,GB,0.006029,0.00606,-0.2889
4,Regime 2 (3–11),Regime 2 (3–11),within,[3],1,MLP,0.006337,0.006911,-0.6762
5,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4]",2,RF,0.004671,0.004708,0.2207
5,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4]",2,GB,0.003013,0.003043,0.6744
5,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4]",2,MLP,0.018636,0.020942,-14.4214
6,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5]",3,RF,0.003027,0.003053,0.6738
6,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5]",3,GB,0.001852,0.001868,0.8779
6,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5]",3,MLP,0.011702,0.013803,-5.6686
7,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5, 6]",4,RF,0.002051,0.002066,0.8518
7,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5, 6]",4,GB,0.001134,0.001142,0.9547
7,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5, 6]",4,MLP,0.010459,0.012418,-4.3526
8,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5, 6, 7]",5,RF,0.001456,0.00146,0.9268
8,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5, 6, 7]",5,GB,0.000926,0.000928,0.9704
8,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5, 6, 7]",5,MLP,0.009677,0.011612,-3.6284
9,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5, 6, 7, 8]",6,RF,0.001129,0.001167,0.951
9,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5, 6, 7, 8]",6,GB,0.000801,0.000849,0.9741
9,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5, 6, 7, 8]",6,MLP,0.008841,0.010737,-3.1477
10,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5, 6, 7, 8, 9]",7,RF,0.000724,0.000734,0.9809
10,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5, 6, 7, 8, 9]",7,GB,0.000424,0.000434,0.9933
10,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5, 6, 7, 8, 9]",7,MLP,0.00872,0.010513,-2.9191
11,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5, 6, 7, 8, 9, 10]",8,RF,0.000655,0.000661,0.9848
11,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5, 6, 7, 8, 9, 10]",8,GB,0.000385,0.000398,0.9945
11,Regime 2 (3–11),Regime 2 (3–11),within,"[3, 4, 5, 6, 7, 8, 9, 10]",8,MLP,0.008347,0.010084,-2.5448
12,Regime 3 (12–16),Regime 2 (3–11),cross,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",9,RF,0.005813,0.005886,-0.2377
12,Regime 3 (12–16),Regime 2 (3–11),cross,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",9,GB,0.005619,0.005696,-0.1593
12,Regime 3 (12–16),Regime 2 (3–11),cross,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",9,MLP,0.005096,0.006542,-0.5289
13,Regime 3 (12–16),Regime 3 (12–16),within,[12],1,RF,5.1e-05,9.6e-05,0.9997
13,Regime 3 (12–16),Regime 3 (12–16),within,[12],1,GB,5.1e-05,9.6e-05,0.9997
13,Regime 3 (12–16),Regime 3 (12–16),within,[12],1,MLP,0.002663,0.003243,0.6258
14,Regime 3 (12–16),Regime 3 (12–16),within,"[12, 13]",2,RF,4.2e-05,7.2e-05,0.9998
14,Regime 3 (12–16),Regime 3 (12–16),within,"[12, 13]",2,GB,4.1e-05,6e-05,0.9999
14,Regime 3 (12–16),Regime 3 (12–16),within,"[12, 13]",2,MLP,0.030799,0.03261,-36.54
15,Regime 3 (12–16),Regime 3 (12–16),within,"[12, 13, 14]",3,RF,0.000166,0.000245,0.9979
15,Regime 3 (12–16),Regime 3 (12–16),within,"[12, 13, 14]",3,GB,0.000158,0.00023,0.9982
15,Regime 3 (12–16),Regime 3 (12–16),within,"[12, 13, 14]",3,MLP,0.017167,0.018941,-11.5571
16,Regime 3 (12–16),Regime 3 (12–16),within,"[12, 13, 14, 15]",4,RF,0.00011,0.000152,0.9992
16,Regime 3 (12–16),Regime 3 (12–16),within,"[12, 13, 14, 15]",4,GB,5.5e-05,7.3e-05,0.9998
16,Regime 3 (12–16),Regime 3 (12–16),within,"[12, 13, 14, 15]",4,MLP,0.013653,0.01559,-7.5184
