Target_PMUT,Regime,Step_Type,Train_PMUTs,N_train,Model,MAE,RMSE,R2
2,Regime 1 (1–2),progressive,[1],1,RF,0.462314,0.462343,-11527.742
2,Regime 1 (1–2),progressive,[1],1,GB,0.462314,0.462343,-11527.742
2,Regime 1 (1–2),progressive,[1],1,MLP,0.490164,0.49053,-12976.3215
2,Regime 1 (1–2),progressive,[1],1,Physics,0.003062,0.004306,-0.0
3,Regime 2 (3–11),progressive,"[1, 2]",2,RF,0.223393,0.223437,-1737.8972
3,Regime 2 (3–11),progressive,"[1, 2]",2,GB,0.096263,0.096323,-322.1635
3,Regime 2 (3–11),progressive,"[1, 2]",2,MLP,0.036252,0.036842,-46.2763
3,Regime 2 (3–11),progressive,"[1, 2]",2,Physics,0.003369,0.005358,-0.0
4,Regime 2 (3–11),progressive,"[1, 2, 3]",3,RF,0.053012,0.053033,-97.6992
4,Regime 2 (3–11),progressive,"[1, 2, 3]",3,GB,0.006034,0.006066,-0.2914
4,Regime 2 (3–11),progressive,"[1, 2, 3]",3,MLP,0.006146,0.007321,-0.8809
4,Regime 2 (3–11),progressive,"[1, 2, 3]",3,Physics,0.003319,0.005338,-0.0
5,Regime 2 (3–11),progressive,"[1, 2, 3, 4]",4,RF,0.012914,0.012938,-4.8862
5,Regime 2 (3–11),progressive,"[1, 2, 3, 4]",4,GB,0.003017,0.003047,0.6735
5,Regime 2 (3–11),progressive,"[1, 2, 3, 4]",4,MLP,0.020608,0.021083,-14.6304
5,Regime 2 (3–11),progressive,"[1, 2, 3, 4]",4,Physics,0.00326,0.005333,-0.0
6,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5]",5,RF,0.004231,0.004253,0.3669
6,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5]",5,GB,0.001857,0.001872,0.8773
6,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5]",5,MLP,0.007533,0.008201,-1.3543
6,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5]",5,Physics,0.003245,0.005345,-0.0
7,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6]",6,RF,0.001942,0.001956,0.8671
7,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6]",6,GB,0.001138,0.001147,0.9544
7,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6]",6,MLP,0.002891,0.003567,0.5584
7,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6]",6,Physics,0.003252,0.005368,-0.0
8,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6, 7]",7,RF,0.001434,0.001438,0.929
8,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6, 7]",7,GB,0.00093,0.000933,0.9701
8,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6, 7]",7,MLP,0.002833,0.003662,0.5398
8,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6, 7]",7,Physics,0.003273,0.005398,-0.0
9,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6, 7, 8]",8,RF,0.00128,0.00132,0.9373
9,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6, 7, 8]",8,GB,0.000805,0.000853,0.9738
9,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6, 7, 8]",8,MLP,0.003893,0.00483,0.1608
9,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6, 7, 8]",8,Physics,0.003216,0.005272,-0.0
10,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",9,RF,0.000795,0.000803,0.9771
10,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",9,GB,0.000428,0.000438,0.9932
10,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",9,MLP,0.004332,0.005043,0.0983
10,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",9,Physics,0.003237,0.005311,-0.0
11,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,RF,0.000655,0.000663,0.9847
11,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,GB,0.00039,0.000403,0.9943
11,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,MLP,0.004527,0.005249,0.0394
11,Regime 2 (3–11),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,Physics,0.003261,0.005356,0.0
12,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",11,RF,0.005818,0.00589,-0.2395
12,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",11,GB,0.005624,0.005701,-0.1613
12,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",11,MLP,0.00262,0.003195,0.6353
12,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",11,Physics,0.003201,0.005291,-0.0
13,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,RF,0.001781,0.001799,0.8849
13,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,GB,5.1e-05,9.8e-05,0.9997
13,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,MLP,0.002121,0.002699,0.7408
13,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,Physics,0.003207,0.005302,-0.0
14,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",13,RF,0.000448,0.000453,0.9928
14,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",13,GB,4.2e-05,6.3e-05,0.9999
14,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",13,MLP,0.003869,0.004459,0.2982
14,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",13,Physics,0.003212,0.005322,-0.0
15,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",14,RF,0.000222,0.000284,0.9972
15,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",14,GB,0.000161,0.000234,0.9981
15,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",14,MLP,0.003922,0.004485,0.296
15,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",14,Physics,0.00322,0.005345,-0.0
16,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",15,RF,0.00011,0.000153,0.9992
16,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",15,GB,6e-05,7.9e-05,0.9998
16,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",15,MLP,0.003617,0.004109,0.4081
16,Regime 3 (12–16),progressive,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",15,Physics,0.003222,0.005342,-0.0
